ID_Partido,Ciclo,Torneo,ID_Torneo,Fecha,Fase,Condicion,DT,Rival,Pts_pronosticados,Goles_anotados,Goles_recibidos,Disparos_realizados,Disparos_permitidos,xGF,xGC,xJG,xJE,xJP
1,2016-17,C-17,1,2017-01-07,REG,Local,Francisco Jemez,Necaxa,1.55,1,0,10,5,0.51,0.24,0.34,0.53,0.14
2,2016-17,C-17,1,2017-01-15,REG,Visita,Francisco Jemez,Pumas Unam,1.15,0,1,9,6,1.17,0.36,0.58,0.31,0.11
3,2016-17,C-17,1,2017-01-21,REG,Local,Francisco Jemez,Monterrey,1.47,2,2,19,7,2.14,1.32,0.56,0.22,0.22
4,2016-17,C-17,1,2017-01-27,REG,Visita,Francisco Jemez,Tijuana,1.05,0,1,14,6,0.71,0.29,0.42,0.44,0.14
5,2016-17,C-17,1,2017-02-04,REG,Local,Francisco Jemez,Querétaro,1.78,1,1,22,5,1.84,0.46,0.72,0.20,0.08
6,2016-17,C-17,1,2017-02-12,REG,Visita,Francisco Jemez,Santos Laguna,1.20,2,2,19,13,1.31,1.44,0.34,0.26,0.40
7,2016-17,C-17,1,2017-02-18,REG,Local,Francisco Jemez,Atlas,1.75,0,1,21,8,1.10,0.56,0.49,0.33,0.18
8,2016-17,C-17,1,2017-02-25,REG,Visita,Francisco Jemez,Club América,1.04,0,2,13,14,1.11,1.19,0.33,0.29,0.37
9,2016-17,C-17,1,2017-03-04,REG,Local,Francisco Jemez,Chiapas FC,1.84,2,0,16,11,1.75,0.41,0.72,0.21,0.07
10,2016-17,C-17,1,2017-03-18,REG,Local,Francisco Jemez,Tigres UANL,1.46,0,0,11,6,0.72,0.21,0.46,0.45,0.10
11,2016-17,C-17,1,2017-03-31,REG,Visita,Francisco Jemez,Veracruz,1.49,1,3,15,10,1.11,1.74,0.23,0.24,0.53
12,2016-17,C-17,1,2017-04-08,REG,Local,Francisco Jemez,Morelia,1.69,1,1,11,6,0.95,0.40,0.49,0.36,0.15
13,2016-17,C-17,1,2017-04-13,REG,Visita,Francisco Jemez,Toluca,1.03,2,0,13,7,1.18,1.16,0.35,0.29,0.35
14,2016-17,C-17,1,2017-04-16,REG,Visita,Francisco Jemez,Puebla,1.29,1,2,9,8,0.33,0.38,0.21,0.55,0.25
15,2016-17,C-17,1,2017-04-22,REG,Local,Francisco Jemez,Guadalajara,1.59,2,1,21,7,1.53,0.29,0.70,0.24,0.06
16,2016-17,C-17,1,2017-04-29,REG,Visita,Francisco Jemez,Pachuca,1.09,2,2,14,13,1.17,1.20,0.35,0.28,0.37
17,2016-17,C-17,1,2017-05-06,REG,Visita,Francisco Jemez,León,1.13,2,1,17,25,1.47,2.01,0.28,0.22,0.51
18,2017-18,A-17,2,2017-07-21,REG,Visita,Francisco Jemez,Tijuana,1.16,2,0,9,13,1.93,0.79,0.67,0.20,0.13
19,2017-18,A-17,2,2017-07-29,REG,Local,Francisco Jemez,Guadalajara,1.66,1,1,6,5,0.29,0.45,0.17,0.53,0.29
20,2017-18,A-17,2,2017-08-05,REG,Visita,Francisco Jemez,León,1.31,2,2,13,16,1.18,1.09,0.38,0.29,0.33
21,2017-18,A-17,2,2017-08-12,REG,Local,Francisco Jemez,Toluca,1.68,0,0,15,2,0.66,0.10,0.46,0.49,0.05
22,2017-18,A-17,2,2017-08-19,REG,Local,Francisco Jemez,Atlas,1.69,2,1,14,14,1.09,0.46,0.52,0.33,0.15
23,2017-18,A-17,2,2017-08-23,REG,Visita,Francisco Jemez,Necaxa,1.30,1,1,12,13,1.42,0.69,0.56,0.26,0.18
24,2017-18,A-17,2,2017-08-26,REG,Local,Francisco Jemez,Monterrey,1.37,1,1,8,16,0.31,2.18,0.03,0.14,0.83
